Systematic name      Gene name       Processed Signal     isDublicated   
A_52_P616356         Ccr1            6.217926833333333    True           
A_52_P580582         Nppa            15.408668966666667   False          
A_52_P403405         Aqp7            4.5001595            True           
A_52_P819156         AK046412        33.00680166666667    True           
A_51_P331831         Hvcn1           35.733785000000005   True           
A_51_P430630         Gpr33           3.1530616666666673   True           
A_52_P502357         C230086J09Rik   2.3855808333333335   True           
A_52_P299964         LOC434369       3.484738333333333    True           
A_51_P356389         A330106F07Rik   13.725510666666667   True           
A_52_P684402         Ptdss2          169.28155            True           
A_51_P414208         1110014K05Rik   3.073309833333333    True           
A_51_P280918         Itfg1           272.6071             True           
A_52_P613688         Elmo1           8.696950999999999    True           
A_52_P258194         Crtac1          3.4262713333333337   True           
A_52_P229271         Pnpt1           42.99930666666666    True           
A_52_P214630         Sox9            126.91241816666668   False          
A_52_P579519         Tmem144         352.2493666666667    True           
A_52_P979997         AK039768        2.116039166666667    True           
A_52_P453864         Syne1           3.065075333333333    True           
A_52_P655842         Ank1            6.2222585            True           
A_51_P282374         H2-M10.5        10.288057166666666   True           
A_52_P176013         Isgf3g          46.37576333333334    True           
A_51_P121179         BC056923        2.3965915            True           
A_51_P448416         Pusl1           192.5338             True           
A_51_P215038         5330410G16Rik   54.505425            True           
A_52_P427024         Ldlr            19195.267666666663   False          
A_52_P669145         Hps5            133.92244333333335   True           
A_52_P65218          Thoc1           50.67311833333333    True           
A_51_P318564         Wnk1            128.33669833333335   True           
A_52_P123716         AK032795        2.4883738333333336   True           
A_52_P682382         Scd1            67627.97666666667    True           
A_52_P571768         Kif13b          2.0593958333333333   True           
A_52_P267543         BC013529        314.62308333333334   True           
A_52_P172080         BE956575        5.974903             True           
BG963265             BG963265        8.545058166666665    True           
A_51_P114722         Hao3            7.827855166666666    True           
A_52_P368650         Zswim4          57.320275            True           
A_52_P931594         AK051556        9.898959             True           
A_51_P414661         2210010C04Rik   5.3558595            True           
A_52_P290374         2810011L19Rik   2.5432341666666667   True           
A_52_P103628         NAP103812-1     229.08785            True           
A_51_P291339         Ssrp1           4153.954666666667    True           
A_51_P496795         A330049M08Rik   70.22211666666666    True           
A_52_P440044         Thap2           92.19932166666666    True           
A_52_P373010         2900092D14Rik   7.295736833333333    True           
A_51_P170285         Apobec3         14.728883666666668   True           
A_52_P656860         Slc25a30        37.72772166666667    True           
A_52_P187023         Prdx6-rs1       2.5791429999999997   True           
A_51_P492963         Prr8            191.95313333333334   True           
A_51_P218196         Msx1            2.0781821            False          
A_51_P123134         Ercc6l          9.2611125            True           
A_51_P213898         Usp15           486.1854166666667    True           
A_52_P413257         Med18           47.92977500000001    True           
A_51_P521171         Hif1an          188.09564999999998   True           
A_52_P846109         Mtap1a          4.7381875            True           
A_52_P51896          AK082682        10.897649000000001   True           
A_51_P140321         Mocos           7093.4946666666665   True           
A_51_P442759         Arhgef19        396.43668333333335   True           
A_51_P174081         Zdhhc14         118.83224833333333   True           
A_52_P83688          Vps29           39.58711833333333    True           
A_51_P455040         Hoxd3           2.9284928333333333   True           
A_51_P432538         H2-T22          6194.113833333333    True           
A_51_P507602         Clca4           2.4372754999999997   True           
A_52_P303343         Higd1b          5.603374166666666    True           
A_51_P488211         Atp10d          47.07229833333334    True           
A_51_P425798         C130038G02Rik   2.40763              True           
A_52_P503809         Tuba6           2091.4218333333333   True           
A_51_P131025         Ngdn            6528.572166666666    True           
A_51_P102122         Myog            7.967732783333334    False          
A_51_P293489         BC013481        374.7483             True           
A_52_P76629          AK148746        112.55043333333333   True           
A_52_P137901         Zfp516          26.92926             True           
A_52_P247927         2810442I21Rik   61.24491666666666    True           
A_52_P583219         4933423P22Rik   7.131141833333333    True           
A_51_P349751         Scel            187.16048966666673   True           
A_51_P514421         Slc35a1         433.9682             True           
A_52_P496870         2310011J03Rik   233.2905166666667    True           
A_52_P648688         Zc3h12d         26.939301666666665   True           
A_51_P449777         Tmepai          30.91288833333333    True           
A_51_P363960         Olfr1356        5.236674333333333    True           
A_52_P293556         Wdr41           411.85701666666665   True           
A_51_P240269         BC031748        12.022627499999999   True           
A_51_P224630         Dtwd2           43.02672166666667    True           
A_51_P256202         Ctsz            13269.596666666666   True           
A_52_P666646         4933426M11Rik   596.3852166666667    True           
A_52_P247491         Ddhd1           161.30561666666665   True           
A_51_P177605         C130022K22Rik   304.05063333333334   True           
A_51_P327285         Extl2           259.71868333333333   True           
A_52_P593965         Fdps            1146.2975            True           
A_51_P258721         Tpsg1           2.788651             True           
A_51_P262432         Sfrs2           2830.588333333333    True           
A_52_P493882         AK088929        46.95443             True           
A_51_P235440         Pelp1           82.53523333333334    True           
A_51_P439711         Rif1            392.6054             True           
A_52_P1147900        AK032125        2.2654694999999996   True           
AK080090             AK080090        2.0521065000000003   True           
A_51_P160673         Kcne1l          2.0507765            True           
A_52_P494261         Tbxas1          2.941067666666667    True           
A_52_P411601         Ep300           92.71660333333334    True           
A_52_P892061         AK081450        2.0466443333333335   True           
A_52_P124126         AK050809        2.046122             True           
A_51_P308298         Myl9            919.8631833333334    True           
A_52_P196097         Btn1a1          4.0454783333333335   True           
A_52_P377736         M60510          10.481237833333333   True           
A_51_P207781         Olfr1297        2.044437333333333    True           
A_51_P389751         Relb            194.09581666666665   True           
A_52_P25008          Arid2           132.7847833333333    True           
A_52_P925197         Btg2            76.23509666666666    True           
A_51_P490023         Tubb2a          30060.271666666667   True           
A_52_P453785         Cthrc1          2.1421676666666665   True           
